Name,Score,Description
Early Shaker Spirituals,83,"The Wooster Group revives its musical inspired by the 1976 LP recorded by the Sisters of the Shaker Community, giving a new live performance of their songs."
A New Brain,83,This autobiographical 1998 musical from Tony Award winner William Finn is a medical tragedy as seen through the lens of a Looney Tunes short.
Baghdaddy,83,"Baghdaddy begins in a support group for the disgraced spies who helped start the Iraq War, and quickly escalates into a manic musical comedy where the characters tell their stories and search for redemption. "
Urinetown The Musical,83,"Fracture Theatre Co. presents a musical satire of the legal system, capitalism, social irresponsibility, populism, bureaucracy, corporate mismanagement, municipal politics and musical theater itself."
Shuffle Along,83,"Tony Award winners Audra McDonald, Brian Stokes Mitchell, and Billy Porter headline this musical about the making of the 1921 Broadway hit 'Shuffle Along.'"
A Christmas Carol - The Musica...,83,"For the ninth year in a row, Be Bold! Productions brings back its family-friendly musicalization of Charles Dickens' iconic Christmas tale."
Wonderful Town,83,"Musicals Tonight! presents a revival of this beloved tuner about two sisters who move to NYC to fulfill their artistic dreams featuring songs by Leonard Bernstein, and Betty Comden and Adolph Green."
Science Fair: An Opera With Ex...,83,"HERE presents 'Science Fair,' a live science show with lessons and lectures delivered through song."
Missed Connections: A Craigsli...,83,BeeBar LLC presents a devised musical based on actual Craigslist ads.
Sweet Charity,83,Two-time Tony winner Sutton Foster stars in The New Group's revival of this classic musical about a sassy yet naive dance hall hostess whose overeager embrace of every man she meets lands her in hot water. 
The Wizard of Oz,83,"Harlem Repertory Theatre mounts a one-hour, family-friendly adaptation of the iconic 1939 MGM movie musical about a little girl from Kansas who journeys to the Land of Oz."
On the Exhale,83,Roundabout Theatre Company presents the world premiere of a provocative one-woman drama exploring one of our country’s most divisive—and urgent—issues: gun violence. Starring Tony nominee Marin Ireland.
The Strange Undoing of Prudenc...,83,"The McKittrick Hotel (home of the immersive spectacle 'Sleep No More') presents the New York premiere of the National Theatre of Scotland's transporting, music-filled folk-theater fable."
Sunset Boulevard,83,"Three-time Tony Award-winner Glenn Close returns to Broadway in her most iconic role, Norma Desmond, in Andrew Lloyd Webber’s Tony-winning musical. "
A Funny Thing Happened on the ...,83,"The Heights Players revives Stephen Sondheim's joyous, musical romp through Rome with desperate lovers, scheming neighbors, and secrets behind every toga."
The Pirates of Penzance,83,"Swimming pools, twinkly lights, a well-stocked Tiki Bar and beach balls welcome the audience to The Hypocrites' raucous and utterly zany beach-party adaptation of Gilbert and Sullivan’s classic operetta."
re(Birth): E.E. Cummings in Song,83,Soulpepper Theatre Company presents a whimsical musical celebration of the works of one of America's great 20th-century poets.
Mean Girls,83,"Based on Tina Fey's blockbuster 2004 comedy, this brand-new musical plays a pre-Broadway tryout in Washington, D.C. Directed by Tony winner Casey Nicholaw."
Edgar Allan,83,Part of Soho Playhouse's Fringe Encore Series: The Coldharts present this dark musical comedy inspired by the childhood and short stories of Edgar Allan Poe.
The Migration,83,The New Victory Theater invites you to experience the journey of the millions of African Americans who moved from the rural South to the urban North to rebuild their lives in this polyrhythmic performance from Step…
Hershey Felder as Irving Berlin,83,Hershey Felder ('Maestro') returns to 59E59 for another solo show exploring the life of a legendary composer.
Betty and the Belrays,83,"In this new 60s-set new musical, three white female singers challenge a racially divided society by singing for a black record label."
The Pajama Game,82,
"Real Men, A musical for guys a...",82,"Part of New York Musical Theatre Festival, billed as ""theater for men who hate theater,"" explores manhood and all its responsibilities using puppets and song."
The Wildness,82,"Ars Nova, in collaboration with The Play Company, presents a new rock fairy tale that explores faith and doubt featuring indie-pop band Sky-Pony."
Bright Star,82,"In this musical by actor-writer Steve Martin and '80s pop icon Edie Brickell, a young man returns from WWII to his North Carolina home and uncovers dark secrets about his past."
Tappin' Thru Life - A Song &amp; D...,82,"New World Stages presents Broadway legend Maurice Hines's 'Tappin’ Thru Life,' a song and dance celebration of his career in show business. "
Rap Guide to Climate Chaos,82,"In his latest theatrical hip-hop manifesto, 'peer-reviewed rapper' Baba Brinkman breaks down the politics, economics, and science of global warming. "
Shoes and Baggage,82,The Cell presents the world premiere of writer/performer Cheryl Stern's one-woman musical about the insatiable need to purchase and possess beautiful things.
Maestro,82,"Pianist, actor, and playwright, Hershey Felder, brings one of America's greatest musical legends to life in this solo show about Leonard Bernstein."
"Holiday Inn, The New Irving Be...",82,"Roundabout Theatre Company presents a new musical inspired by the beloved 1942 film, featuring songs by the legendary Irving Berlin. Starring Tony nominee Bryce Pinkham and Corbin Bleu of 'High School Musical' fame."
Tink!,82,Part of the New York Musical Festival: This new tuner is about a famous little fairy with a big story of her own.
Anastasia,82,"Inspired by the Anastasia legend and two movies—including the 1997 animated film—this new musical is the romantic, adventure-filled story of a brave young woman attempting to uncover her past."
Held,82,"Part of FringeNYC: Held is a musical set in a fantasy world. Korin, a dreamer. Mera, a warrior. Bardo, a baker. Piano, cello, and bass set a romantic score while the three struggle to escape a place where time stands…"
New Songs Now,82,"In Rattlestick Playwrights Theater and The Araca Group's all-new unplugged summer concert series, two different songwriters will share songs-in-progress followed by audience talk backs after each performance. "
Othello: The Remix,82,John Leguizamo presents The Q Brothers’ reinvention of Shakespeare's tragedy as a hip-hop musical. From the company behind the Off-Broadway hit 'Bomb-itty of Errors.'
My Name Is Gideon: I’m Probabl...,82,"All for One Theater presents the world premiere of Gideon Irving's autobiographical solo show, featuring new stories and songs from his global adventures. "
Life is for Living: Conversati...,82,The creators of 'Coward at Christmas' return to 59E59 with the world premiere of their new musical celebrating Noel Coward's remarkable impact on British and American culture.
Calderon's Two Dreams,82,Magis Theatre Company presents both versions of Spanish Golden Age dramatist Pedro Calderón de la Barca's masterpiece 'Life is a Dream.'
Bandstand,82,"Set in the swing-fueled nightclubs of post-WWII America, this against-all-odds story of a singer/songwriter and his band of mismatched fellow vets comes to Broadway. Starring two-time Tony nominee Laura Osnes."
Berlin to Broadway with Kurt W...,82,"The York Theatre Company presents a joyful musical celebration of Kurt Weill, a cantor's son and one of the most extraordinary composers of the 20th century."
Sweeney Todd: The Demon Barber...,82,"Theater 2020 revives Stephen Sondheim's musical thriller about a barber, a pie maker, and the power of revenge. "
Happy Karaoke Fun Time,82,"Under St. Marks presents this troupe of improvisers who create a brand-new, one-act musical at every performance."
Spoon River,82,Canada's Soulpepper Theatre Company presents a musical adaptation of Edgar Lee Masters' 'Spoon River Anthology.'
Miss Blanche Tells It All,82,"Part of the New York Musical Festival: Inspired by the imagination of Tennessee Williams, this intimate and seductive show takes us on one man’s journey of desire, self-expression, and liberation."
Frozen the Musical,82,Disney Theatrical Productions brings its blockbuster animated movie musical to the stage for its pre-Broadway tryout.
KPOP,82,"Ars Nova in association with Ma-Yi Theater and Woodshed Collective present the world premiere of this interactive experience set behind the scenes at a k-pop music factory.
"
Turbulence,82,Part of Soho Playhouse's Fringe Encore Series: This original musical offers a fast and farcical race through space.
Mean Girls,82,Tina Fey's blockbuster 2004 comedy becomes a brand-new Broadway musical directed by Tony winner Casey Nicholaw.
The Lucky Ones,82,"Ars Nova presents indie-music duo The Bengsons ('Hundred Days') spinning a memory-tale of teenaged passion, ideals lived to the limits, family shattered and faith lost — all in hope of finding a way home again."
Subways are for Sleeping,82,The York revives this musical comedy where a reporter gets a new point of view when she goes undercover to get the scoop on an unusual group of New Yorkers: well-dressed homeless people sleeping in the NYC subway system.
The Prom,82,"This new musical comedy centers around four fading stars, whose desperate need of a new stage leads them to protest a small-town prom. Directed by Tony Award winner Casey Nicholaw ('Book of Mormon.')"
Be More Chill,82,"This New York premiere musical is an edgy, comic look at coming of age in the digital age. Get tickets to the Broadway transfer here!."
Gettin’ the Band Back Together...,82,"George Street Playhouse presents the pre-Broadway production of the new musical comedy, the story of a laid off 40-year-old who finds that the only hope for his future lies in revisiting his rock and roll past."
You Hold a Pole Everyday,82,"A darkly comic, solo-musical performance about an unsettling sexual encounter leading to a pole dancing class and revelations about embarrassing childhood memories. Part of the 2018 Planet Connections Festivity."
"Love, Linda: The Life of Mrs. ...",82,"This one-woman musical and theatrical journey tells the story of Linda Lee Thomas, the Southern beauty who was the driving force behind legendary songwriter Cole Porter. Please note: The Triad has a 2-drink minimum."
The Other Josh Cohen,82,"David Rossmer and Steve Rosen play the hapless-yet-warmhearted title character – one eventful year apart – in their musical romantic comedy about courageously owning the hand life deals you, and making your own luck."
Carmelina,82,"The York presents Lerner and Lane's 1979 musical as part of their concert revival reading ""Musicals in Mufti"" series."
Ain't Too Proud – The Life and...,82,"(Los Angeles) This new musical follows The Temptations' extraordinary journey from the streets of Detroit to the Rock & Roll Hall of Fame. Directed by two-time Tony Award winner Des McAnuff (""Jersey Boys"")."
On The Town,81,"Three sailors with only 24 hour shore leave in New York are swept off their feet by three beautiful New York women for one amazing night, in this classic musical."
Awake and Sing!,81,"The Public Theater presents Odet's portrait of a Depression-era, lower middle class Jewish family in the Bronx, performed by The National Asian American Theatre Company. "
The Legend of Georgia McBride,81,MCC Theater presents the story of an Elvis impersonator who must become a winning drag queen in the Florida Panhandle to keep everything from falling apart. 
Company,81,This Sondheim musical is a serious of pieces about one man as he recalls his life and how he has never been able to commit.
Invisible Thread,81,American Repertory Theater and Second Stage Theatre present a new musical directed by Diane Paulus. It follows the life-changing journey of a young New Yorker who volunteers for a humanitarian aid project in Uganda.
The Robber Bridegroom,81,"Roundabout Theatre Company presents an irreverent, playful, and, at times, raunchy tribute to the con men, hucksters and charlatans that created our great nation. "
The 25th Annual Putnam County ...,81,The Astoria Performing Arts Center presents a revival of the Tony-nominated musical comedy about quirky kids putting everything on the line to win.
The Wizard of Oz,81,Puppetworks presents L. Frank Baum's classic children's novel adapted for marionettes and featuring a original songs. 
Take One,81,"Part of FringeNYC: Michelangelo, Richard Rodgers and God light up the musical stage in this story of the disastrous first versions of three great things. ""Take One"" shows that the act of creation is always messy and…"
The Extraordinary Fall of the ...,81,"A FringeNYC Encore: In the dusty desert, Myrtle Corbin, the four-legged curiosity, meets her match. Can this veteran performer make a life outside the tent? "
The Fall,81,"A FringeNYC Encore: In this memory play-meets-docudrama, six young women search for identity, understanding, and redemption in the wake of a national tragedy."
Elephant &amp; Piggie's We Are in ...,81,"New Victory Theater presents Kennedy Center Theater for Young Audiences' musical adaptation of Mo Willems' best-selling picture book series about Elephant and Piggie, two very different BFFs."
About Clarence &amp; Me,81,Part of Theater for the New City's Dream Up Festival: This world premiere drama explores the relationship between an older African-American piano student and his younger Caucasian piano teacher.
Finian's Rainbow,81,"Irish Rep revives its adaptation of the classic E.Y. Harburg Burton Lane musical with Tony-nominee Melissa Errico reprising her role as Sharon. Hit songs include ""Old Devil Moon"" and ""If This Isn't Love."""
Groundhog Day The Musical,81,"Direct from its hit London run, this musicalization of the classic Bill Murray movie comes to Broadway starring Tony nominee Andy Karl, with songs by Tim Minchin ('Matilda') and directed by Tony winner Matthew Warchus."
The Lightning Thief: The Percy...,81,The Lucile Lortel Theatre presents an action-packed musical based on Rick Riordan best-selling young-adult fantasy novel of the same name. 
Assassins,81,Encores! Off-Center presents a star-studded concert staging of Stephen Sondheim and John Weidman’s musical about the people who have attempted to kill or successfully assassinated U.S. presidents.
Amerike – The Golden Land,81,"National Yiddish Theatre Folksbiene presents Zalmen Mlotek and Moishe Rosenfeld’s musical, which chronicles Jewish immigration and assimilation."
The Boys from Syracuse,81,"Musicals Tonight presents the classic 1938 musical from Rodgers and Hart, loosely based upon Shakespeare’s 'The Comedy of Errors.'"
SpongeBob SquarePants,81,Nickelodeon's beloved cartoon icon comes to life on Broadway in this new musical featuring new songs from some of rock and pop's greatest luminaries.
Endangered! The Musical,81,"This new family musical follows the adventures of a social media-savvy kid reporter and a group of endangered animals from around the globe who must survive a superstorm.
"
Calamity Jane,81,Musicals Tonight! presents this 1962 musical based on the 1953 Doris Day film celebrating the life of a frontierswoman and professional scout who was also a pal of Wild Bill Hickok.
Symphonie Fantastique,81,
The Kinsey Sicks: Things You S...,81,"The true story of four friends, whose life-changing epiphany at a Bette Midler concert inspired them to form the dragapella beauty-shop quartet The Kinsey Sicks, returns to Soho Playhouse."
Oklahoma!,81,Rodgers and Hammerstein's classic musical is boldly re-imagined by director Daniel Fish at St Ann's Warehouse.
The Cher Show,81,"The Grammy, Oscar, Golden Globe, and Emmy-winning entertainer’s life story comes to Broadway in this new musical, featuring her many hits including ""If I Could Turn Back Time"" and ""I Got You Babe."""
Tootsie,81,"This new musical comedy tells the story of a talented, but difficult-to-work-with actor who will do anything to land the role of a lifetime—including adopting a new persona as Dorothy Michaels."
Ordinary Days,81,"Keen Company presents the first New York revival of this musical about four young New Yorkers whose lives intersect in unexpected ways as they search for success, happiness, love, and taxis."
Tootsie,81,"This new musical comedy tells the story of a talented, but difficult-to-work-with actor who will do anything to land the role of a lifetime—including adopting a new persona as Dorothy Michaels."
Midnight at the Never Get,81,The York's world premiere musical charts the romance between a singer and a songwriter who put together a nightclub act at an illegal gay bar in 1960s Greenwich Village.
Beauty and the Beast,81,"This rowdy and rustic re-telling of the familiar French fable features a feisty heroine, a preposterous pair of loudmouthed, spoiled sisters and an enchanted prince with some monstrously bad pick-up lines."
Ain't Too Proud – The Life and...,81,This original pop/rock musical and teen horror comedy centers around a dismally low-ranking team of cheerleaders who are terrorized by a serial killer.
We Are The Tigers,81,This new pop-rock musical spoofs the beloved CBS Series and its eccentric and funny group of scientists.
The Big Bang Theory: A Pop-Roc...,81,"
"
50 Shades! The Musical Parody,80,"In this musical parody of the book phenomenon, ""Fifty Shades of Grey,"" the audience is led on a comedic roller coaster ride through this unlikely bestseller."
The Imbible: A Spirited Histor...,80,"Playing in an authentic New York speakeasy, 'The Imbible' sweeps audiences along a 10,000-year journey through history accompanied by craft cocktails and the vocal stylings of The Backwaiters a cappella group."
Louisiana Purchase,80,Musicals Tonight! revives Irving Berlin's obscure 1940 musical satire of Louisiana Governor Huey Long.
The Light in the Piazza,80,Kidz Theater revives Craig Lucas and Adam Guettel's Tony-nominated musical about a wealthy Southern woman spending the summer in Italy with her daughter in the '50s. Performed by an all-youth cast.
#Blessed,80,"Part of FringeNYC: In the wake of an act of violence committed by charismatic high school senior Michael against devout freshman Liana, a handful of teens try to piece together the irrefutable truth. Weaving ancient…"
And Then: a science fiction fo...,80,"Part of FringeNYC: 8 people, 6 instruments, billions of stars... you’re in for a SciFi-Folk-Event! Inspired by conventional science fiction models, the story explores humanity’s relentless endurance with the grounding…"
Thank You For Being a Friend,80,"Hit the Cutting Room for this musical parody of iconic '80s sitcom 'The Golden Girls,' starring drag queens as the sassy seniors. Expect period fashion, petty fights, sex talk, cheesecake, group hugs, and songs."
Sgt. Stubby: The Great America...,80,"Friends Always Creating Theatre presents this new family musical inspired by the true story of Stubby, the most decorated dog of World War I."
Blueprint Specials,80,"Tony nominees Laura Osnes and Will Swenson star in Waterwell's staging of vintage revues, originally created for and performed by WWII soldiers. Part of the Public Theater's Under the Radar festival."
Lula Del Ray,80,"Manual Cinema combines shadow puppetry, film techniques, and live music in this mythic reinvention of the coming-of-age story. Part of the Public Theater's Under the Radar festival."
Macbeth,80,"The Seeing Place Theater presents a streamlined, modernized mounting of Shakespeare's iconic tragedy."
Candide,80,"New York City Opera presents a new production of Leonard Bernstein's iconic musical, directed by Tony winner Harold Prince and featuring Tony winner Linda Lavin."
Pacific Overtures,80,George Takei stars in Classic Stage Company's revival of Stephen Sondheim's musical about a samurai and a fisherman caught up in the westernization of the East.
Bastard Jones,80,"The Cell presents a new rock musical based on Henry Fielding’s bawdy 18th-century novel ""The History of Tom Jones."" A rollicking adventure of deception, misunderstanding, and bed-hopping."
Easter Bonnet Competition,80,"The 31st annual Easter Bonnet Competition is a spring fundraising tradition, a spectacular showcase of Broadway’s best performers and beautiful, handcrafted bonnets."
Carousel,80,Rodgers and Hammerstein’s classic musical returns to Broadway in a revival directed by three-time Tony winner Jack O’Brien and starring Tony winner Jessie Mueller ('Waitress') and Joshua Henry ('Violet').
"Hey, Look Me Over!",80,Encores! kicks off its 25th season with a new musical about Broadway gems they have not yet revived. Featuring a star-studded cast including Tony Winner Bebe Neuwirth and Tony nominee Vanessa Williams.
The Goree All-Girl String Band...,80,Part of the New York Musical Festival: The year is 1938 and The Goree All-Girl String Band is the biggest new radio sensation in Texas. They also happen to be convicted criminals.
"  I Am, I Will, I Do",80,"Part of the New York Musical Festival: As three diverse couples struggle to find compromise, this new romantic musical comedy teaches us that perhaps being “outside the norm” is the new normal."
Me &amp; Ella,80,Broadway veteran Andrea Frierson celebrates the late great singer Ella Fitzgerald in this solo musical.
The Bubbly Black Girl Sheds He...,80,Encores! Off-Center revives Kirsten Childs’ 2000 musical about the journey of a young African-American dancer. Starring Tony winner Nikki M. James.
{my lingerie play} 2017: THE C...,80,"Rattlestick Playwrights Theater and Rosalind Productions presents the final part of Diana Oh's epic installation, a concert-show in which she models, sings, and chronicles her relationship with lingerie."
It Shoulda Been You,80,"The Gallery Players present this farce set to music about the Steinberg wedding, where anything that can go wrong does, and love pops up in mysterious places. It’s a wedding day you’ll never forget!
"
Pluto Is Missing! A Not-So Pla...,80,"The Peoples Improv Theater presents a family-friendly musical comedy that blends music, puppets, and fantasy with real science and space exploration history, in its story of the demoted planet Pluto's quest of…"
Cruel Intentions,80,"Based on the classic novel, 'Les Liaisons Dangereuses,' and the sexy 90s teen drama, this jukebox musical features a selection of nostalgia-inducing ’90s hits including 'Lovefool' and 'Bittersweet Symphony.'"
Unexpected Joy,80,"The York Theatre Company's world premiere musical centers around three generations of female singers, long-held family tensions, and a week together where change is in the air. "
Beetlejuice ,80,"It’s showtime, folks! Beetlejuice is ruder, raunchier and frankly, more repellant than ever in this original musical based on Tim Burton’s wonderfully demented film. "
Girl From The North Country,80,"Following a run at London’s Old Vic and a West End transfer, the new show from Olivier winner and Tony Award nominee Conor McPherson and music icon Bob Dylan makes its American premiere.
"
Best Life,80,"A musical comedy about ambition, anxiety and avocados that asks, how do you know if you are living your best life?"
We Need This Musical To Stop U...,80,"WNTMTSUFKO is an irreverent musical comedy about a frustrated therapist who is strong-armed into creating a musical with two of his suicidal patients, Sarah, a struggling singer, and Mitchell, a failing actor."
Hadestown,80,Singer-songwriter Anaïs Mitchell and director Rachel Chavkin reimagine the ancient tale of Orpheus and Eurydice as a timeless allegory for our world in this new musical.
Showgirls! The Musical!,79,"Showgirls! The Musical! is the unauthorized musical parody of the cult classic film Showgirls from the twisted minds that gave you “Bayside! The Saved by the Bell Musical!"" 
"
Skippyjon Jones Snow What,79,"A brand new free children's musical by Theatreworks USA, 'Skippyjon Jones Snow What' is a twist on the classic fairytale ""Snow White and the Seven Dwarfs."""
Songbird,79,"Dreams, ambition, love, and heartbreak come together in this new  musical dubbed ""A Tennessee Fiction."" Based on Anton Chekov's 'The Seagull' this is the story of a fading country star returning home to Nashville. "
"The Glory, a Latin Cabaret",79,Teatro SEA presents an otherworldly revue honoring Afro-Cuban music superstars La Sonora Matancera. Part of Teatro Fest NYC 2016. 
New York Spectacular,79,The Rockettes' brand-new Radio City Music Hall extravaganza follows one family’s magical journey in NYC. Written by Tony Award-nominee Douglas Carter Beane and starring Broadway vet Euan Morton. 
A Bronx Tale,79,"Based on Chazz Palminteri's solo show which inspired the 1993 film, this new musical is co-directed by two-time Oscar winner Robert De Niro and four-time Tony winner Jerry Zaks, with songs by Alan Menken."
"Kurt Vonnegut’s God Bless You,...",79,"Encores! revives Alan Menken and Howard Ashman's little-known musical based on Kurt Vonnegut's comic novel of the same name. Directed by Tony winner Michael Mayer, and starring Santino Fontana, Skylar Astin, and James…"
Dust Can't Kill Me,79,"A New York Musical Festival alumnus: In this new tuner, drought, desperation, and a prophet’s promise of Paradise set a ragtag group of wayward souls on a Dust Bowl journey into the desert. "
Newton's Cradle,79,"Part of the New York Musical Festival: An autistic man wants to marry his girlfriend against his family's wishes in this fast-paced, non-linear tuner directed by Tony-winning actress Victoria Clark."
Full: The Musical,79,"Part of FringeNYC: Based on the playwright's personal experiences, ""Full"" follows the struggle of a young woman battered by adolescent trauma, combating her demons, finding herself powerless, and ultimately battling her…"
In Transit,79,This all-a cappella musical celebrates the wide variety of commuters in the city that never sleeps…or stands still. Featuring songs by the co-composer of 'Frozen.'
Ride the Cyclone,79,MCC Theater presents the NYC premiere of this dark musical comedy about a group of teenagers whose trip to an amusement park takes a very surreal turn.
Milk and Honey,79,"Part of the York Theatre Company's Musicals in Mufti series, this spare revival of Jerry Herman's 1961 musical centers on the romance between two Americans in Israel: a lonely widow and an unhappily married man."
A Taste of Things to Come,79,The York Theatre Company presents the New York premiere of this musical that starts off in 1957 Illinois as four female friends enter a Betty Crocker cooking contest with life-altering results.
Mother Africa: My Home,79,"New Victory Theater presents Circus der Sinne's family-friendly spectacle, a mix of modern circus and African music and dance celebrating everyday life in a South African township."
"Mark Felt, Superstar",79,"The York Theatre Company presents a new musical about former FBI agent Mark Felt who revealed himself as Deep Throat, the secret source who helped Woodward and Bernstein bring down President Richard Nixon."
Big River,79,Encores! presents a concert version of the 1985 Tony Award-winning musical based on 'The Adventures of Huckleberry Finn.'
Numbers Nerds,79,"Part of the New York Musical Festival: A tale of girls becoming women, conquering both anxiety and rivalry, and finding a way to affirm themselves both as individuals and team members so they can win at math…and at life!"
The Light Rail,79,"Part of the New York Musical Festival: In this contemporary musical, movement and music combine to depict the realities of people living with mental illness, and the power we all have to live imperfectly and beautifully."
Romance of the Western Chamber,79,"In this musical adaptation of the classic 'Xi Xiang Ji,' two young lovers fly in the face of tradition and parental disapproval in 9th-century China."
Whiskey Pants: The Mayor of Wi...,79,"Mind the Art Entertainment presents a dark and twisted new musical about hope, family, whiskey, and reconciling the dreamer within."
A Letter to Harvey Milk,79,"Set in San Francisco in 1986, this musical deals with issues of friendship and loss, the grip of the past, and the hard-won acceptance set in motion by the most unexpected people. "
Oy Vey In A Manger: The Kinsey...,79,"Dragcapella beauty shop quartet, The Kinsey Sicks return to New York and Soho Playhouse with this ribald, ridiculous, raunchy, and decidedly R-rated romp through the best and worst of Christmas."
Moulin Rouge,79,"Based on Baz Luhrmann’s Academy Award-winning film, and featuring many of its iconic songs, the world-premiere musical invites you to experience the sweeping grandeur of Paris’s most spectacular dance hall."
Once Upon a Mattress,79,"This comic and progressive musical retelling of ""The Princess and the Pea"" will challenge you to rethink your expectations of fairy tales."
This Boy Tom,79,"Part of Soho Playhouse's ""Fringe Encores"" series, this original musical with an all-child cast offers a life-affirming story of acceptance, courage, and friendship."
Into the Woods,79,"Theater 2020 presents Stephen Sondeim and James Lapine's celebrated musical, in a new staging set in a refugee resettlement camp, somewhere in the world today."
Honeymoon in Vegas,78,Tony Danza stars in a new musical comedy based on the 1992 film about a love triangle set amongst the glitz of Las Vegas. 
The Fantasticks,78,"A revival of the longest-running Off Broadway musical of all time. Memorable songs including ""Try to Remember"" and ""Soon It's Gonna Rain"" frame the classic story of true love. "
The Wild Party,78,"An Encores! Off-Center production, this is the  tragic Jazz Age story of party girl Queenie (played by TONY-winner Sutton Foster), one booze-soaked night, and a stranger who offers hope of a less tawdry life."
Once Upon a Mattress,78,"The Transport Group presents a revival of this zany musical retelling of the classic story of 'The Princess and the Pea,' featuring Jackie Hoffman as Princess Winnifred and John “Lypsinka” Epperson as Queen Aggravain."
The Marvelous Wonderettes,78,"A revival of the nostalgic revue, set at a 1958 high school prom where we meet The Wonderettes, four girls with hopes and dreams as big as their crinoline skirts."
Rock and Roll Refugee,78,"Royal Family Productions details the astounding true events of the life of Genya Ravan, a rock and roll pioneer that overcame astounding adversities. "
Cats,78,"One of the longest-running shows in Broadway and West End history, Andrew Lloyd Webber’s musical is an ode to felines, inspired by T.S. Eliot’s poems. "
Dear World,78,Tony and Emmy winner Tyne Daly stars in the York Theatre Company's spare revival of Jerry Herman's 1969 musical about French Countess Aurelia's efforts to fight big business and save her home.
Hundred Days,78,"New York Theatre Workshop presents a musical about how Abigail and Shaun of the folk-rock duo the Bengsons met and fell in love, and how that unleashed their fear of mortality. Previously seen at the Under the Radar."
Beardo,78,"Pipeline Theatre Company presents the NYC premiere of this rock musical about Rasputin, the infamous mystic who helped topple the Russian royal family. Featuring music by Dave Malloy of 'The Great Comet' fame. "
Off the Top,78,Intellectual rapper Baba Brinkman and neuroscientist Dr. Heather Berlin explore the brain basis of improvisation and humor in this live comedy show featuring cutting-edge research and freestyle rhymes.
The View UpStairs,78,Invisible Wall Productions presents a provocative new musical about a vibrant '70s gay bar in New Orleans' French Quarter.
"You're a Good Man, Charlie Bro...",78,The Gallery Players presents the classic musical inspired by Charles M. Schulz's iconic 'Peanuts' comic strip.
The New Yorkers,78,"Encores! presents a concert version of Cole Porter’s 1930 musical, an evening of sophisticated Depression-era madness.
"
Siren's Den,78,"This rock musical puts a modern spin on the myth of the ancient sirens, who lured sailors to their deaths. Here, the turbulent sea is the music industry, and the siren is Skylar Cole, a seductive indie singer in NYC.
"
Black Light,78,"After a successful run at Joe’s Pub, Daniel Alexander Jones returns to the stage as Jomama Jones, his critically-acclaimed alter-ego, in this revival for turbulent times."
A New Brain,78,"By the Tony Award-winning authors of 'Falsettos,' this autobiographical musical deals directly with the writer’s own harrowing personal experience with arteriovenous malformation and the healing power of art."
Frozen the Musical,78,"Disney brings its blockbuster animated movie musical to Broadway. This is the timeless tale of two sisters, pulled apart by a mysterious secret.
Both are searching for love. They just don’t know where to find it."
Buskers the Musical,78,"Part of Theater for the New City's 2017 Dream Up Festival: Equal parts musical fantasy and documentary theater, this world premiere show explores the life of street musicians, and stars real-life buskers."
"The B-Side: ""Negro Folklore fr...",78,"The Wooster Group presents this piece based on performer Eric Berryman’s interest in the LP, 'Negro Folklore from Texas State Prisons,' recorded in 1964 by folklorist Bruce Jackson."
Old Stock: A Refugee Love Story,78,59E59's genre-bending music-theater hybrid starring Klezmer-folk sensation Ben Caplan is about how to love after being broken by the horrors of war.
Jerry Springer – The Opera,78,The New Group presents the Off-Broadway premiere of this gleefully profane musical about the infamous talk show. An outrageous celebration of our national ritual of public humiliation and redemption.
Assassins,78,Theater 2020 presents Stephen Sondheim and John Weidman’s musical about the people who have attempted to kill or successfully assassinated U.S. Presidents.
Head Over Heels,78,"Tony Award winner Michael Mayer directs this new musical comedy set to the songs of the iconic rock act The Go-Go's, including  ""We Got The Beat,"" ""Our Lips Are Sealed,"" ""Vacation,"" and many more."
Goldstein,78,This uplifting and heartwarming multi-generational musical explores the challenges and triumphs of an immigrant Jewish American family. 
Wicked Frozen,78,"'Wicked Frozen' is a musical parody mash-up of 'Wicked' and 'Frozen,' both celebrating and skewering these two wildly successful pop culture phenomenons."
My Name's Not Indian Joe,78,"In this new musical, a  young Texas woman and a homeless Native American man strike up an unexpected friendship. Directed by Emmy Award winner Don Scardino and starring Tony nominee Elizabeth A. Davis."
Nuclear Follies,78,"Set in 1984, this musical comedy revue sees an inept President taking refuge at a Shelter Cabaret with the best remaining entertainers around, as WWIII begins."
A Child's Christmas In Wales,78,"This Irish Rep tradition features both classic and contemporary Christmas music interwoven with Dylan Thomas’s story of a snowy Christmas Day in Wales.
"
Beetlejuice,78,"The ghost-with-the-most comes to life on stage in this new musical based on Tim Burton’s dearly beloved film. Directed by Alex Timbers (""Moulin Rouge!"").
 (Past Reviews)"
Oklahoma!,78,"After a hit run at St. Ann's Warehouse, Daniel Fish's imaginative staging of the classic American musical moves to Broadway. (Past reviews)"
A Musical About Star Wars,78,"This new meta-theatrical musical-comedy epic celebrates the magic, the fandom, and the legacy of all things ""Star Wars."""
Benny &amp; Joon,78,"Based on the 1993 film starring Johnny Depp, this new musical is offers a comic and tender-hearted celebration of love: between children and parents; romantic partners; friends; and most of all, siblings."
Ruthless! The Musical,77,"This campy cult favorite that spoofs the world of Broadway and child acting follows Tina, who will do anything to win the part of Pippi Longstocking in her school musical, including murdering the leading lady."
Clinton The Musical,77,A satirical musical set in the '90s about the presidency of William Clinton and the various scandals and characters surrounding it.
